	"State"	"State Code"	"Mortality-Incidence Age-Adjusted Rate Ratio"	"Death Counts"	"Mortality Population"	"Mortality Age-Adjusted Rate"	"Incidence Counts"	"Incidence Population"	"Incidence Age-Adjusted Rate"
	"Alabama"	"01"	0.496	9807	4452173	214.665	19854	4452173	432.916
	"Alaska"	"02"	0.406	704	627963	208.805	2053	627963	514.866
	"Arizona"	"04"	0.413	9073	5160586	176.594	22034	5160586	427.214
	"California"	"06"	0.395	53155	33987977	181.495	137389	33987977	460.009
	"Colorado"	"08"	0.373	5922	4326921	169.404	16771	4326921	453.817
	"Connecticut"	"09"	0.359	7065	3411777	188.577	19197	3411777	524.801
	"Delaware"	"10"	0.391	1609	786373	202.200	4155	786373	516.727
	"District of Columbia"	"11"	0.450	1335	572046	238.393	2965	572046	529.703
	"Florida"	"12"	0.365	39183	16047515	190.050	103496	16047515	520.192
	"Georgia"	"13"	0.436	13690	8227303	206.094	32969	8227303	472.894
	"Hawaii"	"15"	0.371	1943	1213519	155.118	5260	1213519	418.532
	"Idaho"	"16"	0.378	2128	1299430	179.520	5674	1299430	475.111
	"Illinois"	"17"	0.428	25365	12434161	211.382	59177	12434161	493.374
	"Indiana"	"18"	0.450	12842	6091866	213.992	28620	6091866	475.796
	"Iowa"	"19"	0.393	6448	2929067	190.610	15755	2929067	485.419
	"Kansas"	"20"	0.398	5223	2693681	186.115	12734	2693681	467.644
	"Kentucky"	"21"	0.436	9207	4049021	227.887	21351	4049021	522.969
	"Louisiana"	"22"	0.460	9400	4471885	227.323	20736	4471885	493.868
	"Maine"	"23"	0.400	3070	1277072	212.759	7595	1277072	531.555
	"Maryland"	"24"	0.422	10289	5311034	209.022	25109	5311034	494.928
	"Massachusetts"	"25"	0.398	14027	6361104	206.301	34463	6361104	518.251
	"Michigan"	"26"	0.389	19798	9952450	203.234	51225	9952450	522.316
	"Minnesota"	"27"	0.398	9215	4933692	190.948	22825	4933692	479.405
	"Missouri"	"29"	0.437	12144	5607285	205.093	27506	5607285	469.771
	"Montana"	"30"	0.387	1867	903773	193.078	4785	903773	498.531
	"Nebraska"	"31"	0.382	3382	1713820	185.285	8585	1713820	485.314
	"Nevada"	"32"	0.413	3762	2018741	211.627	9608	2018741	511.938
	"New Hampshire"	"33"	0.407	2484	1239882	206.044	6215	1239882	506.824
	"New Jersey"	"34"	0.390	18072	8430621	205.077	46100	8430621	525.814
	"New Mexico"	"35"	0.409	2905	1821204	171.860	7273	1821204	419.906
	"New York"	"36"	0.381	37197	19001780	191.260	97140	19001780	501.583
	"North Carolina"	"37"	0.443	15785	8081614	203.359	36409	8081614	458.710
	"North Dakota"	"38"	0.396	1346	642023	181.953	3202	642023	459.366
	"Ohio"	"39"	0.446	24988	11363543	211.044	55855	11363543	473.669
	"Oklahoma"	"40"	0.450	7402	3454365	206.832	16346	3454365	459.292
	"Oregon"	"41"	0.395	6951	3429708	196.524	17454	3429708	497.123
	"Pennsylvania"	"42"	0.408	30160	12284173	205.967	71377	12284173	504.302
	"Rhode Island"	"44"	0.380	2433	1050268	205.295	6169	1050268	539.945
	"South Carolina"	"45"	0.445	8250	4024223	211.992	18977	4024223	476.497
	"Tennessee"	"47"	0.542	12339	5703719	217.968	23148	5703719	402.404
	"Texas"	"48"	0.414	33300	20944499	195.705	83164	20944499	472.545
	"Utah"	"49"	0.374	2358	2244502	150.340	6560	2244502	402.165
	"Vermont"	"50"	0.402	1240	609618	197.466	3098	609618	490.718
	"Virginia"	"51"	0.474	13528	7105817	207.930	29616	7105817	438.429
	"Washington"	"53"	0.386	10668	5910512	195.324	28083	5910512	506.656
	"West Virginia"	"54"	0.443	4753	1807021	222.722	10615	1807021	503.257
	"Wisconsin"	"55"	0.391	10638	5373999	190.738	26730	5373999	487.648
	"Wyoming"	"56"	0.398	868	494300	184.948	2231	494300	465.116
