"State"	"State Code"	"Mortality-Incidence Age-Adjusted Rate Ratio"	"Death Counts"	"Mortality Population"	"Mortality Age-Adjusted Rate"	"Incidence Counts"	"Incidence Population"	"Incidence Age-Adjusted Rate"
	"Alabama"	"01"	0.408	10196	4785492	190.689	25356	4785492	467.641
	"Alaska"	"02"	0.382	884	714031	178.335	2795	714031	466.618
	"Arizona"	"04"	0.377	10678	6408312	152.631	28287	6408312	404.334
	"Arkansas"	"05"	0.425	6475	2921995	193.700	15267	2921995	455.892
	"California"	"06"	0.355	56453	37332685	155.761	161946	37332685	438.821
	"Colorado"	"08"	0.346	7035	5048644	148.794	21477	5048644	429.819
	"Connecticut"	"09"	0.323	6954	3579899	162.410	20875	3579899	502.117
	"Delaware"	"10"	0.361	1909	899816	184.354	5316	899816	510.864
	"District of Columbia"	"11"	0.356	1041	605183	178.383	2975	605183	500.795
	"Florida"	"12"	0.356	41467	18849098	163.846	111914	18849098	459.629
	"Georgia"	"13"	0.376	15435	9713521	173.865	43337	9713521	461.876
	"Hawaii"	"15"	0.330	2266	1363945	140.569	6741	1363945	426.352
	"Idaho"	"16"	0.345	2530	1571010	158.637	7460	1571010	459.803
	"Illinois"	"17"	0.369	24070	12841578	177.848	65504	12841578	482.100
	"Indiana"	"18"	0.401	13164	6490528	187.616	32846	6490528	467.843
	"Iowa"	"19"	0.348	6358	3050738	170.706	17582	3050738	491.043
	"Kansas"	"20"	0.364	5377	2858850	170.347	14433	2858850	468.407
	"Kentucky"	"21"	0.393	9930	4348662	207.441	25527	4348662	527.361
	"Louisiana"	"22"	0.395	9203	4544996	196.381	23745	4544996	497.104
	"Maine"	"23"	0.377	3247	1327730	186.577	8402	1327730	494.399
	"Maryland"	"24"	0.363	10268	5788584	170.174	28951	5788584	469.217
	"Massachusetts"	"25"	0.356	12993	6565524	169.944	35715	6565524	477.876
	"Michigan"	"26"	0.370	20620	9877495	181.951	55389	9877495	491.111
	"Minnesota"	"27"	0.349	9612	5311147	166.054	27277	5311147	475.658
	"Mississippi"	"28"	0.411	6271	2970322	200.461	15510	2970322	487.475
	"Missouri"	"29"	0.399	12626	5996118	184.738	31555	5996118	463.568
	"Montana"	"30"	0.337	1923	990641	159.936	5651	990641	474.220
	"Nebraska"	"31"	0.357	3438	1830051	166.599	9385	1830051	467.269
	"Nevada"	"32"	0.403	4529	2703284	173.534	11852	2703284	430.483
	"New Hampshire"	"33"	0.332	2525	1316872	167.662	7799	1316872	505.499
	"New Jersey"	"34"	0.338	16815	8803729	168.688	49255	8803729	498.885
	"New Mexico"	"35"	0.379	3358	2064756	151.343	9049	2064756	398.869
	"New York"	"36"	0.328	35431	19402640	162.134	106851	19402640	494.519
	"North Carolina"	"37"	0.368	18060	9558915	177.832	50154	9558915	483.347
	"North Dakota"	"38"	0.335	1269	674526	156.128	3609	674526	465.677
	"Ohio"	"39"	0.401	25083	11540983	186.598	61937	11540983	465.444
	"Oklahoma"	"40"	0.420	7831	3759603	190.391	18684	3759603	453.521
	"Oregon"	"41"	0.384	7638	3838048	172.794	19836	3838048	450.120
	"Pennsylvania"	"42"	0.357	29055	12712343	180.542	78463	12712343	506.166
	"Rhode Island"	"44"	0.373	2266	1053337	176.669	5828	1053337	474.163
	"South Carolina"	"45"	0.383	9356	4635943	182.563	24865	4635943	476.397
	"South Dakota"	"46"	0.375	1655	816325	169.824	4211	816325	452.262
	"Tennessee"	"47"	0.406	13593	6356671	194.693	34037	6356671	479.353
	"Texas"	"48"	0.384	36717	25244310	165.088	100091	25244310	430.295
	"Utah"	"49"	0.312	2810	2775326	132.954	9523	2775326	425.765
	"Vermont"	"50"	0.378	1392	625982	182.567	3675	625982	483.259
	"Virginia"	"51"	0.399	14078	8025773	171.721	36554	8025773	430.523
	"Washington"	"53"	0.352	11874	6743226	169.635	34455	6743226	481.440
	"West Virginia"	"54"	0.409	4685	1854230	196.592	11297	1854230	480.646
	"Wisconsin"	"55"	0.363	11279	5690263	173.756	30728	5690263	478.865
	"Wyoming"	"56"	0.392	1016	564513	170.137	2655	564513	433.566
